FREQ       | RATIO      | MAX_S      | RESULT
100.5300   | 0.73360    | 0.99999    | ALIVE !!!
100.5400   | 0.73368    | 0.99995    | ALIVE !!!
100.5500   | 0.73375    | 0.99975    | ALIVE !!!
100.5600   | 0.73382    | 0.99998    | ALIVE !!!
100.5700   | 0.73389    | 0.99994    | ALIVE !!!
100.5800   | 0.73397    | 0.99983    | ALIVE !!!
100.5900   | 0.73404    | 0.99963    | ALIVE !!!
100.6000   | 0.73411    | 0.99987    | ALIVE !!!
100.6100   | 0.73419    | 0.99992    | ALIVE !!!
100.6200   | 0.73426    | 0.99969    | ALIVE !!!
100.6300   | 0.73433    | 1.00000    | ALIVE !!!
100.6400   | 0.73441    | 0.99998    | ALIVE !!!
100.6500   | 0.73448    | 0.99999    | ALIVE !!!
100.6600   | 0.73455    | 0.99993    | ALIVE !!!
100.6700   | 0.73462    | 0.99987    | ALIVE !!!
100.6800   | 0.73470    | 1.00000    | ALIVE !!!
100.6900   | 0.73477    | 0.99989    | ALIVE !!!
100.7000   | 0.73484    | 0.99993    | ALIVE !!!
100.7100   | 0.73492    | 0.99996    | ALIVE !!!
100.7200   | 0.73499    | 0.99995    | ALIVE !!!
100.7300   | 0.73506    | 0.99986    | ALIVE !!!
100.7400   | 0.73514    | 0.99999    | ALIVE !!!
100.7500   | 0.73521    | 0.99999    | ALIVE !!!
100.7600   | 0.73528    | 0.99988    | ALIVE !!!
100.7700   | 0.73535    | 0.99975    | ALIVE !!!
100.7800   | 0.73543    | 0.99992    | ALIVE !!!
100.7900   | 0.73550    | 0.99990    | ALIVE !!!
100.8000   | 0.73557    | 0.99958    | ALIVE !!!
100.8100   | 0.73565    | 0.99990    | ALIVE !!!
100.8200   | 0.73572    | 1.00000    | ALIVE !!!
100.8300   | 0.73579    | 0.99871    | ALIVE !!!
100.8400   | 0.73587    | 0.99861    | ALIVE !!!
100.8500   | 0.73594    | 0.99970    | ALIVE !!!
100.8600   | 0.73601    | 0.99925    | ALIVE !!!
100.8700   | 0.73608    | 0.99938    | ALIVE !!!
100.8800   | 0.73616    | 0.99995    | ALIVE !!!
100.8900   | 0.73623    | 0.99991    | ALIVE !!!
100.9000   | 0.73630    | 0.99989    | ALIVE !!!
100.9100   | 0.73638    | 0.99995    | ALIVE !!!
100.9200   | 0.73645    | 0.99996    | ALIVE !!!
100.9300   | 0.73652    | 0.99989    | ALIVE !!!
100.9400   | 0.73660    | 0.99954    | ALIVE !!!
100.9500   | 0.73667    | 0.99997    | ALIVE !!!
100.9600   | 0.73674    | 0.99990    | ALIVE !!!
100.9700   | 0.73681    | 0.99994    | ALIVE !!!
100.9800   | 0.73689    | 0.99996    | ALIVE !!!
100.9900   | 0.73696    | 0.99984    | ALIVE !!!
101.0001   | 0.73703    | 0.99956    | ALIVE !!!
101.0101   | 0.73711    | 0.99978    | ALIVE !!!
101.0201   | 0.73718    | 0.99986    | ALIVE !!!
101.0301   | 0.73725    | 0.99993    | ALIVE !!!
101.0401   | 0.73732    | 0.99962    | ALIVE !!!
101.0501   | 0.73740    | 0.99998    | ALIVE !!!
101.0601   | 0.73747    | 0.99972    | ALIVE !!!
101.0701   | 0.73754    | 0.99979    | ALIVE !!!
101.0801   | 0.73762    | 0.99997    | ALIVE !!!
101.0901   | 0.73769    | 0.99998    | ALIVE !!!
101.1001   | 0.73776    | 0.99909    | ALIVE !!!
101.1101   | 0.73784    | 0.99990    | ALIVE !!!
101.1201   | 0.73791    | 0.99955    | ALIVE !!!
101.1301   | 0.73798    | 0.99958    | ALIVE !!!
101.1401   | 0.73805    | 0.99998    | ALIVE !!!
101.1501   | 0.73813    | 0.99990    | ALIVE !!!
101.1601   | 0.73820    | 0.99969    | ALIVE !!!
101.1701   | 0.73827    | 0.99985    | ALIVE !!!
101.1801   | 0.73835    | 0.99988    | ALIVE !!!
101.1901   | 0.73842    | 0.99994    | ALIVE !!!
101.2001   | 0.73849    | 0.99997    | ALIVE !!!
101.2101   | 0.73857    | 0.99997    | ALIVE !!!
101.2201   | 0.73864    | 0.99995    | ALIVE !!!
101.2301   | 0.73871    | 0.99989    | ALIVE !!!
101.2401   | 0.73878    | 0.99981    | ALIVE !!!
101.2501   | 0.73886    | 0.99985    | ALIVE !!!
101.2601   | 0.73893    | 0.99956    | ALIVE !!!
101.2701   | 0.73900    | 0.99947    | ALIVE !!!
101.2801   | 0.73908    | 0.99985    | ALIVE !!!
101.2901   | 0.73915    | 0.99899    | ALIVE !!!
101.3001   | 0.73922    | 0.99982    | ALIVE !!!
101.3101   | 0.73930    | 0.99998    | ALIVE !!!
101.3201   | 0.73937    | 0.99917    | ALIVE !!!
101.3301   | 0.73944    | 0.99954    | ALIVE !!!
101.3401   | 0.73951    | 0.99993    | ALIVE !!!
101.3501   | 0.73959    | 0.99972    | ALIVE !!!
101.3601   | 0.73966    | 0.99993    | ALIVE !!!
101.3701   | 0.73973    | 0.99982    | ALIVE !!!
101.3801   | 0.73981    | 0.99997    | ALIVE !!!
101.3901   | 0.73988    | 0.99998    | ALIVE !!!
101.4001   | 0.73995    | 0.99985    | ALIVE !!!
101.4101   | 0.74003    | 0.99890    | ALIVE !!!
101.4201   | 0.74010    | 0.99980    | ALIVE !!!
101.4301   | 0.74017    | 0.99996    | ALIVE !!!
101.4401   | 0.74024    | 0.99963    | ALIVE !!!
101.4501   | 0.74032    | 0.99973    | ALIVE !!!
101.4601   | 0.74039    | 0.99976    | ALIVE !!!
101.4701   | 0.74046    | 0.99997    | ALIVE !!!
101.4801   | 0.74054    | 0.99997    | ALIVE !!!
101.4901   | 0.74061    | 0.99987    | ALIVE !!!
101.5001   | 0.74068    | 0.99962    | ALIVE !!!
101.5101   | 0.74075    | 0.99990    | ALIVE !!!
101.5201   | 0.74083    | 0.99993    | ALIVE !!!
101.5301   | 0.74090    | 1.00000    | ALIVE !!!
101.5401   | 0.74097    | 0.99995    | ALIVE !!!
101.5501   | 0.74105    | 0.99997    | ALIVE !!!
101.5601   | 0.74112    | 0.99930    | ALIVE !!!
101.5701   | 0.74119    | 0.99989    | ALIVE !!!
101.5801   | 0.74127    | 0.99989    | ALIVE !!!
101.5901   | 0.74134    | 0.99986    | ALIVE !!!
101.6001   | 0.74141    | 0.99989    | ALIVE !!!
101.6101   | 0.74148    | 0.99996    | ALIVE !!!
101.6201   | 0.74156    | 0.99976    | ALIVE !!!
101.6301   | 0.74163    | 0.99963    | ALIVE !!!
101.6401   | 0.74170    | 0.99984    | ALIVE !!!
101.6501   | 0.74178    | 0.99985    | ALIVE !!!
101.6601   | 0.74185    | 0.99990    | ALIVE !!!
101.6701   | 0.74192    | 0.99922    | ALIVE !!!
101.6801   | 0.74200    | 0.99987    | ALIVE !!!
101.6901   | 0.74207    | 0.99999    | ALIVE !!!
101.7001   | 0.74214    | 0.99949    | ALIVE !!!
101.7101   | 0.74221    | 0.99994    | ALIVE !!!
101.7201   | 0.74229    | 0.99995    | ALIVE !!!
101.7301   | 0.74236    | 0.99980    | ALIVE !!!
101.7401   | 0.74243    | 0.99965    | ALIVE !!!
101.7501   | 0.74251    | 0.99994    | ALIVE !!!
101.7601   | 0.74258    | 0.99984    | ALIVE !!!
101.7701   | 0.74265    | 0.99987    | ALIVE !!!
101.7801   | 0.74273    | 0.99462    | ALIVE !!!
101.7901   | 0.74280    | 0.99992    | ALIVE !!!
101.8001   | 0.74287    | 0.99996    | ALIVE !!!
101.8101   | 0.74294    | 0.99998    | ALIVE !!!
101.8201   | 0.74302    | 0.99987    | ALIVE !!!
101.8301   | 0.74309    | 0.99999    | ALIVE !!!
101.8401   | 0.74316    | 0.99983    | ALIVE !!!
101.8501   | 0.74324    | 0.99998    | ALIVE !!!
101.8601   | 0.74331    | 0.99967    | ALIVE !!!
101.8701   | 0.74338    | 0.99979    | ALIVE !!!
101.8801   | 0.74345    | 0.99989    | ALIVE !!!
101.8901   | 0.74353    | 0.99995    | ALIVE !!!
101.9001   | 0.74360    | 0.99958    | ALIVE !!!
101.9101   | 0.74367    | 0.99992    | ALIVE !!!
101.9201   | 0.74375    | 0.99994    | ALIVE !!!
101.9301   | 0.74382    | 0.99994    | ALIVE !!!
101.9401   | 0.74389    | 0.99988    | ALIVE !!!
101.9501   | 0.74397    | 0.99987    | ALIVE !!!
101.9601   | 0.74404    | 1.00000    | ALIVE !!!
101.9701   | 0.74411    | 0.99984    | ALIVE !!!
101.9801   | 0.74418    | 1.00000    | ALIVE !!!
101.9901   | 0.74426    | 0.99986    | ALIVE !!!
102.0001   | 0.74433    | 0.99992    | ALIVE !!!
102.0101   | 0.74440    | 0.99987    | ALIVE !!!
102.0201   | 0.74448    | 0.99994    | ALIVE !!!
102.0301   | 0.74455    | 0.99986    | ALIVE !!!
102.0401   | 0.74462    | 1.00000    | ALIVE !!!
102.0501   | 0.74470    | 0.99921    | ALIVE !!!
102.0601   | 0.74477    | 0.99973    | ALIVE !!!
102.0701   | 0.74484    | 0.99950    | ALIVE !!!
102.0801   | 0.74491    | 0.99979    | ALIVE !!!
102.0901   | 0.74499    | 0.99994    | ALIVE !!!
102.1001   | 0.74506    | 1.00000    | ALIVE !!!
102.1101   | 0.74513    | 0.99977    | ALIVE !!!
102.1201   | 0.74521    | 0.99997    | ALIVE !!!
102.1301   | 0.74528    | 0.99996    | ALIVE !!!
102.1401   | 0.74535    | 0.99997    | ALIVE !!!
102.1501   | 0.74543    | 0.99999    | ALIVE !!!
102.1601   | 0.74550    | 0.99962    | ALIVE !!!
102.1701   | 0.74557    | 0.99975    | ALIVE !!!
102.1801   | 0.74564    | 0.99997    | ALIVE !!!
102.1901   | 0.74572    | 0.99990    | ALIVE !!!
102.2001   | 0.74579    | 0.99944    | ALIVE !!!
102.2101   | 0.74586    | 0.99995    | ALIVE !!!
102.2201   | 0.74594    | 0.99983    | ALIVE !!!
102.2301   | 0.74601    | 0.99977    | ALIVE !!!
102.2401   | 0.74608    | 0.99999    | ALIVE !!!
102.2501   | 0.74616    | 0.99982    | ALIVE !!!
102.2601   | 0.74623    | 0.99990    | ALIVE !!!
102.2701   | 0.74630    | 0.99992    | ALIVE !!!
102.2801   | 0.74637    | 0.99996    | ALIVE !!!
102.2901   | 0.74645    | 0.99999    | ALIVE !!!
102.3001   | 0.74652    | 0.99994    | ALIVE !!!
102.3101   | 0.74659    | 0.99981    | ALIVE !!!
102.3201   | 0.74667    | 0.99919    | ALIVE !!!
102.3301   | 0.74674    | 0.99996    | ALIVE !!!
102.3401   | 0.74681    | 0.99989    | ALIVE !!!
102.3501   | 0.74688    | 0.99917    | ALIVE !!!
102.3601   | 0.74696    | 0.99999    | ALIVE !!!
102.3701   | 0.74703    | 0.99922    | ALIVE !!!
102.3801   | 0.74710    | 0.99995    | ALIVE !!!
102.3901   | 0.74718    | 0.99996    | ALIVE !!!
102.4001   | 0.74725    | 0.99976    | ALIVE !!!
102.4101   | 0.74732    | 0.99992    | ALIVE !!!
102.4201   | 0.74740    | 0.99989    | ALIVE !!!
102.4301   | 0.74747    | 0.99982    | ALIVE !!!
102.4401   | 0.74754    | 0.99999    | ALIVE !!!
102.4501   | 0.74761    | 0.99938    | ALIVE !!!
102.4601   | 0.74769    | 0.99997    | ALIVE !!!
102.4701   | 0.74776    | 0.99973    | ALIVE !!!
102.4801   | 0.74783    | 0.99981    | ALIVE !!!
102.4901   | 0.74791    | 0.99979    | ALIVE !!!
102.5001   | 0.74798    | 0.99994    | ALIVE !!!
102.5101   | 0.74805    | 0.99987    | ALIVE !!!
102.5201   | 0.74813    | 0.99986    | ALIVE !!!
102.5301   | 0.74820    | 0.99997    | ALIVE !!!
102.5401   | 0.74827    | 0.99999    | ALIVE !!!
102.5501   | 0.74834    | 0.99998    | ALIVE !!!
102.5601   | 0.74842    | 0.99990    | ALIVE !!!
102.5701   | 0.74849    | 0.99954    | ALIVE !!!
102.5801   | 0.74856    | 1.00000    | ALIVE !!!
102.5901   | 0.74864    | 0.99989    | ALIVE !!!
102.6001   | 0.74871    | 0.99979    | ALIVE !!!
102.6101   | 0.74878    | 0.99998    | ALIVE !!!
102.6201   | 0.74886    | 0.99992    | ALIVE !!!
102.6301   | 0.74893    | 0.99960    | ALIVE !!!
102.6401   | 0.74900    | 0.99995    | ALIVE !!!
102.6501   | 0.74907    | 0.99998    | ALIVE !!!
102.6601   | 0.74915    | 0.99998    | ALIVE !!!
102.6701   | 0.74922    | 0.99992    | ALIVE !!!
102.6801   | 0.74929    | 0.99999    | ALIVE !!!
102.6901   | 0.74937    | 0.99984    | ALIVE !!!
102.7001   | 0.74944    | 0.99993    | ALIVE !!!
102.7101   | 0.74951    | 0.99990    | ALIVE !!!
102.7201   | 0.74959    | 0.99992    | ALIVE !!!
102.7301   | 0.74966    | 0.99954    | ALIVE !!!
102.7401   | 0.74973    | 0.99996    | ALIVE !!!
102.7501   | 0.74980    | 0.99999    | ALIVE !!!
102.7601   | 0.74988    | 0.99995    | ALIVE !!!
102.7701   | 0.74995    | 0.99911    | ALIVE !!!
102.7801   | 0.75002    | 0.99094    | ALIVE !!!
102.7901   | 0.75010    | 0.99996    | ALIVE !!!
102.8001   | 0.75017    | 0.99989    | ALIVE !!!
102.8101   | 0.75024    | 0.99995    | ALIVE !!!
102.8201   | 0.75031    | 0.99973    | ALIVE !!!
102.8301   | 0.75039    | 0.99997    | ALIVE !!!
102.8401   | 0.75046    | 0.99985    | ALIVE !!!
102.8501   | 0.75053    | 0.99995    | ALIVE !!!
102.8601   | 0.75061    | 1.00000    | ALIVE !!!
102.8701   | 0.75068    | 0.99999    | ALIVE !!!
102.8801   | 0.75075    | 0.99990    | ALIVE !!!
102.8901   | 0.75083    | 0.99980    | ALIVE !!!
102.9001   | 0.75090    | 0.99981    | ALIVE !!!
102.9101   | 0.75097    | 0.99984    | ALIVE !!!
102.9201   | 0.75104    | 0.99999    | ALIVE !!!
102.9301   | 0.75112    | 0.99993    | ALIVE !!!
102.9401   | 0.75119    | 0.99993    | ALIVE !!!
102.9501   | 0.75126    | 0.99971    | ALIVE !!!
102.9601   | 0.75134    | 0.99987    | ALIVE !!!
102.9701   | 0.75141    | 0.99964    | ALIVE !!!
102.9801   | 0.75148    | 0.99994    | ALIVE !!!
102.9901   | 0.75156    | 0.99991    | ALIVE !!!
103.0002   | 0.75163    | 0.99969    | ALIVE !!!
103.0102   | 0.75170    | 0.99974    | ALIVE !!!
103.0202   | 0.75177    | 0.99980    | ALIVE !!!
103.0302   | 0.75185    | 0.99999    | ALIVE !!!
103.0402   | 0.75192    | 0.99974    | ALIVE !!!
103.0502   | 0.75199    | 0.99983    | ALIVE !!!
103.0602   | 0.75207    | 0.99996    | ALIVE !!!
103.0702   | 0.75214    | 0.99987    | ALIVE !!!
103.0802   | 0.75221    | 0.99997    | ALIVE !!!
103.0902   | 0.75229    | 0.99969    | ALIVE !!!
103.1002   | 0.75236    | 0.99989    | ALIVE !!!
103.1102   | 0.75243    | 0.99994    | ALIVE !!!
103.1202   | 0.75250    | 0.99976    | ALIVE !!!
103.1302   | 0.75258    | 0.99972    | ALIVE !!!
103.1402   | 0.75265    | 0.99961    | ALIVE !!!
103.1502   | 0.75272    | 0.99991    | ALIVE !!!
103.1602   | 0.75280    | 0.99981    | ALIVE !!!
103.1702   | 0.75287    | 0.99996    | ALIVE !!!
103.1802   | 0.75294    | 0.99999    | ALIVE !!!
103.1902   | 0.75301    | 0.99990    | ALIVE !!!
103.2002   | 0.75309    | 0.99985    | ALIVE !!!
103.2102   | 0.75316    | 0.99999    | ALIVE !!!
103.2202   | 0.75323    | 0.99985    | ALIVE !!!
103.2302   | 0.75331    | 0.99982    | ALIVE !!!
103.2402   | 0.75338    | 0.99982    | ALIVE !!!
103.2502   | 0.75345    | 0.99994    | ALIVE !!!
103.2602   | 0.75353    | 0.99976    | ALIVE !!!
103.2702   | 0.75360    | 0.99986    | ALIVE !!!
103.2802   | 0.75367    | 0.99988    | ALIVE !!!
103.2902   | 0.75374    | 0.99999    | ALIVE !!!
103.3002   | 0.75382    | 0.99903    | ALIVE !!!
103.3102   | 0.75389    | 0.99998    | ALIVE !!!
103.3202   | 0.75396    | 0.99993    | ALIVE !!!
103.3302   | 0.75404    | 0.99937    | ALIVE !!!
103.3402   | 0.75411    | 0.99979    | ALIVE !!!
103.3502   | 0.75418    | 0.99984    | ALIVE !!!
103.3602   | 0.75426    | 0.99983    | ALIVE !!!
103.3702   | 0.75433    | 0.99994    | ALIVE !!!
103.3802   | 0.75440    | 0.99997    | ALIVE !!!
103.3902   | 0.75447    | 0.99999    | ALIVE !!!
103.4002   | 0.75455    | 0.99987    | ALIVE !!!
103.4102   | 0.75462    | 0.99994    | ALIVE !!!
103.4202   | 0.75469    | 0.99997    | ALIVE !!!
103.4302   | 0.75477    | 0.99940    | ALIVE !!!
103.4402   | 0.75484    | 0.99986    | ALIVE !!!
103.4502   | 0.75491    | 0.99995    | ALIVE !!!
103.4602   | 0.75499    | 0.99961    | ALIVE !!!
103.4702   | 0.75506    | 0.99889    | ALIVE !!!
103.4802   | 0.75513    | 0.99766    | ALIVE !!!
103.4902   | 0.75520    | 0.99681    | ALIVE !!!
103.5002   | 0.75528    | 0.99838    | ALIVE !!!
103.5102   | 0.75535    | 0.99928    | ALIVE !!!
103.5202   | 0.75542    | 0.99989    | ALIVE !!!
103.5302   | 0.75550    | 0.99990    | ALIVE !!!
103.5402   | 0.75557    | 0.99994    | ALIVE !!!
103.5502   | 0.75564    | 0.99985    | ALIVE !!!
103.5602   | 0.75572    | 0.99998    | ALIVE !!!
103.5702   | 0.75579    | 0.99993    | ALIVE !!!
103.5802   | 0.75586    | 0.99962    | ALIVE !!!
103.5902   | 0.75593    | 0.99999    | ALIVE !!!
103.6002   | 0.75601    | 0.99954    | ALIVE !!!
103.6102   | 0.75608    | 0.99990    | ALIVE !!!
103.6202   | 0.75615    | 0.99955    | ALIVE !!!
103.6302   | 0.75623    | 0.99998    | ALIVE !!!
103.6402   | 0.75630    | 0.99994    | ALIVE !!!
103.6502   | 0.75637    | 0.99986    | ALIVE !!!
103.6602   | 0.75644    | 0.99984    | ALIVE !!!
103.6702   | 0.75652    | 0.99978    | ALIVE !!!
103.6802   | 0.75659    | 0.99999    | ALIVE !!!
103.6902   | 0.75666    | 0.99994    | ALIVE !!!
103.7002   | 0.75674    | 0.99994    | ALIVE !!!
103.7102   | 0.75681    | 0.99994    | ALIVE !!!
103.7202   | 0.75688    | 0.99995    | ALIVE !!!
103.7302   | 0.75696    | 0.99995    | ALIVE !!!
103.7402   | 0.75703    | 0.99986    | ALIVE !!!
103.7502   | 0.75710    | 0.99998    | ALIVE !!!
103.7602   | 0.75717    | 0.99997    | ALIVE !!!
103.7702   | 0.75725    | 0.99999    | ALIVE !!!
103.7802   | 0.75732    | 0.99965    | ALIVE !!!
103.7902   | 0.75739    | 0.99981    | ALIVE !!!
103.8002   | 0.75747    | 0.99987    | ALIVE !!!
103.8102   | 0.75754    | 0.99991    | ALIVE !!!
103.8202   | 0.75761    | 0.99988    | ALIVE !!!
103.8302   | 0.75769    | 0.99977    | ALIVE !!!
103.8402   | 0.75776    | 0.99993    | ALIVE !!!
103.8502   | 0.75783    | 0.99971    | ALIVE !!!
103.8602   | 0.75790    | 0.99988    | ALIVE !!!
103.8702   | 0.75798    | 0.99998    | ALIVE !!!
103.8802   | 0.75805    | 0.99983    | ALIVE !!!
103.8902   | 0.75812    | 0.99996    | ALIVE !!!
103.9002   | 0.75820    | 0.99999    | ALIVE !!!
103.9102   | 0.75827    | 0.99997    | ALIVE !!!
103.9202   | 0.75834    | 0.99959    | ALIVE !!!
103.9302   | 0.75842    | 0.99994    | ALIVE !!!
103.9402   | 0.75849    | 0.99937    | ALIVE !!!
103.9502   | 0.75856    | 0.99988    | ALIVE !!!
103.9602   | 0.75863    | 0.99980    | ALIVE !!!
103.9702   | 0.75871    | 0.99991    | ALIVE !!!
103.9802   | 0.75878    | 0.99967    | ALIVE !!!
103.9902   | 0.75885    | 0.99987    | ALIVE !!!
104.0002   | 0.75893    | 0.99997    | ALIVE !!!
104.0102   | 0.75900    | 0.99972    | ALIVE !!!
104.0202   | 0.75907    | 0.99960    | ALIVE !!!
104.0302   | 0.75915    | 0.99982    | ALIVE !!!
104.0402   | 0.75922    | 1.00000    | ALIVE !!!
104.0502   | 0.75929    | 0.99992    | ALIVE !!!
104.0602   | 0.75936    | 0.99975    | ALIVE !!!
104.0702   | 0.75944    | 0.99994    | ALIVE !!!
104.0802   | 0.75951    | 0.99986    | ALIVE !!!
104.0902   | 0.75958    | 0.99994    | ALIVE !!!
104.1002   | 0.75966    | 0.99899    | ALIVE !!!
104.1102   | 0.75973    | 0.99986    | ALIVE !!!
104.1202   | 0.75980    | 0.99986    | ALIVE !!!
104.1302   | 0.75987    | 0.99990    | ALIVE !!!
104.1402   | 0.75995    | 0.99994    | ALIVE !!!
104.1502   | 0.76002    | 0.99960    | ALIVE !!!
104.1602   | 0.76009    | 0.99988    | ALIVE !!!
104.1702   | 0.76017    | 0.99972    | ALIVE !!!
104.1802   | 0.76024    | 0.99991    | ALIVE !!!
104.1902   | 0.76031    | 1.00000    | ALIVE !!!
104.2002   | 0.76039    | 0.99992    | ALIVE !!!
104.2102   | 0.76046    | 1.00000    | ALIVE !!!
104.2202   | 0.76053    | 0.99999    | ALIVE !!!
104.2302   | 0.76060    | 0.99990    | ALIVE !!!
104.2402   | 0.76068    | 0.99983    | ALIVE !!!
104.2502   | 0.76075    | 0.99969    | ALIVE !!!
104.2602   | 0.76082    | 0.99995    | ALIVE !!!
104.2702   | 0.76090    | 0.99986    | ALIVE !!!
104.2802   | 0.76097    | 0.99992    | ALIVE !!!
104.2902   | 0.76104    | 0.99954    | ALIVE !!!
104.3002   | 0.76112    | 0.99992    | ALIVE !!!
104.3102   | 0.76119    | 0.99957    | ALIVE !!!
104.3202   | 0.76126    | 0.99978    | ALIVE !!!
104.3302   | 0.76133    | 0.99955    | ALIVE !!!
104.3402   | 0.76141    | 0.99957    | ALIVE !!!
104.3502   | 0.76148    | 0.99999    | ALIVE !!!
104.3602   | 0.76155    | 0.99984    | ALIVE !!!
104.3702   | 0.76163    | 0.99999    | ALIVE !!!
104.3802   | 0.76170    | 0.99999    | ALIVE !!!
104.3902   | 0.76177    | 0.99990    | ALIVE !!!
104.4002   | 0.76185    | 0.99999    | ALIVE !!!
104.4102   | 0.76192    | 0.99999    | ALIVE !!!
104.4202   | 0.76199    | 0.99995    | ALIVE !!!
104.4302   | 0.76206    | 0.99989    | ALIVE !!!
104.4402   | 0.76214    | 0.99982    | ALIVE !!!
104.4502   | 0.76221    | 0.99978    | ALIVE !!!
104.4602   | 0.76228    | 1.00000    | ALIVE !!!
104.4702   | 0.76236    | 0.99996    | ALIVE !!!
104.4802   | 0.76243    | 0.99990    | ALIVE !!!
104.4902   | 0.76250    | 0.99995    | ALIVE !!!
104.5002   | 0.76257    | 0.99999    | ALIVE !!!
104.5102   | 0.76265    | 0.99977    | ALIVE !!!
104.5202   | 0.76272    | 0.99967    | ALIVE !!!
104.5302   | 0.76279    | 0.99981    | ALIVE !!!
104.5402   | 0.76287    | 0.99713    | ALIVE !!!
104.5502   | 0.76294    | 0.99996    | ALIVE !!!
104.5602   | 0.76301    | 0.99985    | ALIVE !!!
104.5702   | 0.76309    | 0.99976    | ALIVE !!!
104.5802   | 0.76316    | 0.99973    | ALIVE !!!
104.5902   | 0.76323    | 0.99994    | ALIVE !!!
104.6002   | 0.76330    | 0.99993    | ALIVE !!!
104.6102   | 0.76338    | 0.99982    | ALIVE !!!
104.6202   | 0.76345    | 0.99994    | ALIVE !!!
104.6302   | 0.76352    | 0.99993    | ALIVE !!!
104.6402   | 0.76360    | 0.99997    | ALIVE !!!
104.6502   | 0.76367    | 0.99967    | ALIVE !!!
104.6602   | 0.76374    | 0.99991    | ALIVE !!!
104.6702   | 0.76382    | 0.99938    | ALIVE !!!
104.6802   | 0.76389    | 0.99963    | ALIVE !!!
104.6902   | 0.76396    | 0.99963    | ALIVE !!!
104.7002   | 0.76403    | 0.99977    | ALIVE !!!
104.7102   | 0.76411    | 0.99991    | ALIVE !!!
104.7202   | 0.76418    | 0.99999    | ALIVE !!!
104.7302   | 0.76425    | 0.99998    | ALIVE !!!
104.7402   | 0.76433    | 0.99975    | ALIVE !!!
104.7502   | 0.76440    | 0.99961    | ALIVE !!!
104.7602   | 0.76447    | 1.00000    | ALIVE !!!
104.7702   | 0.76455    | 0.99996    | ALIVE !!!
104.7802   | 0.76462    | 0.99994    | ALIVE !!!
104.7902   | 0.76469    | 0.99998    | ALIVE !!!
